Species,Date,Year,Observer,Site name (standardized),Locality,County,Habitat,Ecoregion (Level III),Basin (HUC6),Subbasin (HUC8),Watershed (HUC10),Subwatershed (HUC12),Sky Island complex,Elevation,Land manager,Admin unit,Protected Area,Lat,Long,Accuracy,Georeference notes,TRS,No. observed,Source,Institution,Notes, , , , , , , , , , , , , , , , , 
Bicellonycha wickershamorum piceum,25 June 1981,1981,Joe Cicero,Lower Eagle Creek,"Lower Eagle Creek Pump House, Morenci, AZ",Greenlee,,Arizona/New Mexico Mountains,Upper Gila River Basin,Upper Gila - San Carlos Reservoir,Lower Eagle Creek,Upper Gila,N/A,4000',Private,N/A,N/A,33.060595,-109.439375,High,Manuscripted by A. Walker,T4S R28E S26,~12,"Cicero, 1982",Cornell University (CU Type #5583),"Type locality; the mining company, Freeport-McMoRan, owns the whole riparian area, with a buffer.",,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,26 June 1981,1981,Joe Cicero,Wickersham house,"4.8 mi W Fairbank, 0.8 mi S on Sanders Rd to the Babocomari River (Wickersham house)",Cochise,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Babocomari River,San Pedro / Willcox Playa / Rio Yaqui,N/A,4000',Bureau of Land Management,Gila BLM District,San Pedro Riparian,31.695,-110.239722,High,Provided by observer,T20S R21E S18,,UA Insect Collection,University of Arizona,Type locality; presumed extirpated,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,15 June 1993,1993,W. Shaw,Cienaga Creek,Cienaga Cr,Pima,,Madrean Archipelago,,,,,,,Unknown,,Unknown,,,N/A,,,,UA Insect Collection,University of Arizona,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,29 July 2003,2003,Joe Cicero,Cajón Bonito,"ca. 50 mi E of Agua Prieta, Peloncillo Mtns, Cajón Bonito, Sonora, Mexico",N/A,Cottonwood-willow riparian forest along a permanent stream,Madrean Archipelago,,,,,Peloncillo - Pan Duro,4752',Unknown,,,31.19917837,-108.9391277,High,Provided by observer,,,"Cicero, J. pers. comm. 2023",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,30 June 2009,2009,Doug Danforth,Bear Canyon,"Bear Canyon, Huachuca Mts",Cochise,along the edge of a small stream,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Headwaters Las Nutrias,San Pedro / Willcox Playa / Rio Yaqui,Huachuca-Patagonia,5500',US Forest Service,Coronado NF,Miller Peak,31.391849,-110.342175,Low,Manuscripted by C. Fallon to Bear Canyon,T23S R20E S31,,"BugGuide, 2020 (https://bugguide.net/node/view/472176)",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,10 July 2015,2015,fenixtx423,Sonoita,Sonoita,,,Madrean Archipelago,,,,,,,Unknown,,Unknown,,,N/A,,,,"BugGuide, 2020 (https://bugguide.net/node/view/1100030/bgimage)",,"Seems likely this is from Las Cienegas NCA, or maybe Monkey Spring?",,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,11 July 2020,2020,Cheryl Mollohan,Empire Gulch,Empire Gulch on the Las Cienegas NCA,Pima,"Mature cottonwoods with walnut and willow, wet, grassy bottom with some water standing with cattails. ",Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4500',Bureau of Land Management,Gila BLM District,Las Cienegas,31.787222,-110.634962,High,Provided by observer,T19S R17E S17,20 to 30,"Mollohan, C. pers. comm. 2020",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,13 July 2020,2020,Cheryl Mollohan,Empire Gulch,Empire Gulch on the Las Cienegas NCA,Pima,"Mature cottonwoods with walnut and willow, wet, grassy bottom with some water standing with cattails. ",Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4500',Bureau of Land Management,Gila BLM District,Las Cienegas,31.787222,-110.634962,High,Provided by observer,T19S R17E S17,<15,"Mollohan, C. pers. comm. 2020",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,29 July 2020,2020,Cheryl Mollohan,Hookers Hot Springs,"Hookers Hot Springs, Muleshoe Ranch Cooperative Management Area",Cochise,,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4000',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.3367222,-110.237777,High,Provided by observer,T13S R21E S6,4,"Mollohan, C. pers. comm. 2020",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,14 June 2021,2021,Cheryl Mollohan,Empire Gulch,"Empire Gulch Trail Parking Lot, Las Cienegas National Recreation Area",Pima,,Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4500',Bureau of Land Management,Gila BLM District,Las Cienegas,31.7876,-110.6361,High,Provided by observer,T19S R17E S17,2,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,25 June 2021,2021,Cheryl Mollohan,Empire Gulch,"Empire Gulch Trail Parking Lot, Las Cienegas National Recreation Area",Pima,,Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4500',Bureau of Land Management,Gila BLM District,Las Cienegas,31.7876,-110.6361,High,Provided by observer,T19S R17E S17,15 to 20,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,17 July 2021,2021,Cheryl Mollohan,Wildcat Canyon,Muleshoe Ranch – Wildcat Canyon,Cochise,Intact riparian corridor,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,3800',Bureau of Land Management,Gila BLM District,N/A,32.3555,-110.2643,High,Provided by observer,T12S R20E S25,10 to 15,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,18 July 2021,2021,Cheryl Mollohan,Hookers Hot Springs,"Hookers Hot Springs, Muleshoe Ranch HQ",Cochise,Intact riparian corridor with active hot spring,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4000',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.3367222,-110.237777,High,Provided by observer,T13S R21E S6,,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,18 July 2021,2021,Cheryl Mollohan,Mint Springs,"TNC Muleshoe Ranch, Mint Springs",Cochise,"Natural spring, pool dug in 2016. Site is <.25 acres. Pool is surrounded by marshy sedge habitat with small area of standing water.",Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4100',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.3489,-110.2394,High,Provided by observer,T12S R21E S31,50+,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,18 July 2021,2021,Cheryl Mollohan,Bass Canyon,TNC Muleshoe Ranch Bass Canyon,Cochise,Riparian corridor. Permanent water. Fireflies were at low end of wet drainage.,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4100',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.35088,-110.2332,High,Provided by observer,T12S R21E S32,20,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,19 July 2021,2021,Cheryl Mollohan,Double R Confluence,TNC Muleshoe Ranch Double R Confluence,Cochise,,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4100',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.351412,-110.23706,High,Provided by observer,T12S R21E S31,10 to 15,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,20 July 2021,2021,Cheryl Mollohan,Empire Gulch,"Empire Gulch Trail Parking Lot, Las Cienegas National Recreation Area",Pima,,Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4500',Bureau of Land Management,Gila BLM District,Las Cienegas,31.7876,-110.6361,High,Provided by observer,T19S R17E S17,5 to 10,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,20 July 2021,2021,Cheryl Mollohan,Swamp Canyon,Swamp Canyon at first permanent water,Graham,Intact riparian corridor. Narrow with rock faces above and rocky bottom. Fireflies at first permanent water (not in temporary pools).,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Redfield Canyon - San Pedro River,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4300',Bureau of Land Management,Gila BLM District,Redfield Canyon,32.4343,-110.2876,High,Provided by observer,T11S R20E S34,2 to 4,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,28 July 2021,2021,Cheryl Mollohan,Scotia Canyon,"Crossing, Scotia Canyon, Huachuca Mountains",Cochise,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,5900',US Forest Service,Coronado NF,N/A,31.44753,-110.40127,High,Provided by observer,T23S R19E S10,,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,28 July 2021,2021,Cheryl Mollohan,Scotia Canyon,"Old Catchment, Scotia Canyon, Huachuca Mountains",Cochise,Dam was removed at the “Old Catchment” several years ago thus the name.  ,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,5900',US Forest Service,Coronado NF,N/A,31.44951,-110.40127,High,Provided by observer,T23S R19E S10,,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,28 July 2021,2021,Cheryl Mollohan,Scotia Canyon,"Fenced Spring, Scotia Canyon, Huachuca Mountains",Cochise,Spring is fenced to keep cattle out.  ,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,6000',US Forest Service,Coronado NF,N/A,31.45355,-110.39919,High,Provided by observer,T23S R19E S3,,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,28 July 2021,2021,Cheryl Mollohan,Scotia Canyon,"Peterson pond, Scotia Canyon, Huachuca Mountains",Cochise,Peterson Pond is fenced to keep cattle out.  ,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,6100',US Forest Service,Coronado NF,N/A,31.45727,-110.39771,High,Provided by observer,T23S R19E S3,,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,5 August 2021,2021,Cheryl Mollohan,Mint Springs,"TNC Muleshoe Ranch, Mint Springs",Cochise,"Natural spring, pool dug in 2016. Site is <.25 acres. Pool is surrounded by marshy sedge habitat with small area of standing water.",Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Hot Springs Canyon,San Pedro / Willcox Playa / Rio Yaqui,Galiuro,4100',The Nature Conservancy,Muleshoe Ranch,Muleshoe Ranch,32.3489,-110.2394,High,Provided by observer,T12S R21E S31,50+,"Mollohan, C. pers. comm. 2021",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,12 August 2021,2021,Santa Cruz / Rio Magdelana / Rio Sonoita,Gardner Canyon,"Gardner Canyon, Santa Ritas",Pima,,Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,Santa Rita,4928',US Forest Service,Coronado NF,N/A,31.721457,-110.718281,Medium,Manuscripted by A. Walker to dispersed campground with permanent water,T20S R16E S4,,"BugGuide, 2022 (https://bugguide.net/node/view/2025714/bgimage)",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,26 June 2022,2021,Joe Cicero and Shelby D. Salemi,Canelo Hills,TNC Canelo Hills Cienega Preserve,Cochise,Riparian zone through oak woodland,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Babocomari River,San Pedro / Willcox Playa / Rio Yaqui,Huachuca-Patagonia,5000',The Nature Conservancy,Canelo Hills,Canelo Hills,31.56016,-110.52839,High,Provided by observer,T21S R18E S33,<12,"Cicero, J. pers. comm. 2022",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,4 July 2021,2022,Cheryl Mollohan,Las Cienegas NCA,Las Cienegas National Conservation Area (new site),Pima,,Madrean Archipelago,Santa Cruz River Basin,Rillito,Cienega Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,4300',Bureau of Land Management,Gila BLM District,Las Cienegas,31.824733,-110.58566,High,Provided by observer,T18S R17E S35,100+,"Mollohan, C. pers. comm. 2022",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum piceum,29 June 2022,2022,Cheryl Mollohan,Lower Eagle Creek,"Lower Eagle Creek Pump House, Morenci, AZ",Greenlee,,Arizona/New Mexico Mountains,Upper Gila River Basin,Upper Gila - San Carlos Reservoir,Lower Eagle Creek,Upper Gila,N/A,4000',Private,N/A,N/A,33.060595,-109.439375,High,Manuscripted by A. Walker,T4S R28E S26,7,"Mollohan, C. pers. comm. 2022",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,13 July 2022,2022,Bonnie T. Poulos and Jim Brooker ,Aravaipa Canyon,"Aravaipa Canyon, 100 meters west of the Virgus Canyon/Aravaipa Canyon confluence",Pinal,,Madrean Archipelago,San Pedro River Basin,Lower San Pedro,Lower Aravaipa Creek,San Pedro / Willcox Playa / Rio Yaqui,,2780',Bureau of Land Management,Gila BLM District,Aravaipa Canyon,32.9184611,-110.524058,High,Provided by observer,,12,"Mollohan, C. pers. comm. 2023",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,July 2022,2022,Cheryl Mollohan,Patagonia-Sonoita Creek,Patagonia-Sonoita Creek Preserve,Santa Cruz,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,Sonoita Creek,Middle Sonoita Creek,N/A,3968',The Nature Conservancy,,Patagonia-Sonoita Creek,31.526345,-110.776094,High,Provided by observer,,,"Mollohan, C. pers. comm. 2023",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
