occurrenceID,basisOfRecord,ownerInstitutionCode,collectionCode,catalogNumber,sharetype,bibliographicCitation,references,scientificName,scientificNameAuthorship,genus,specificEpithet,verbatimEventDate,eventDate,year,month,day,eventRemarks,recordedBy,recordNumber,habitat,elevationInMeters,identifiedBy,dateIdentified,identificationRemarks,previousIdentifications,typeStatus,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceRemarks,associatedSequences,occurrenceRemarks,individualCount,lifeStage,eventID,sensitiveLocation,samplingProtocol,numberObservers,additionalObservers,startTime,endTime,areaSearchedInHa,targetTaxonGenus,targetTaxonSpecificEpithet,firefliesPresent,sunsetTime,habitatRemarks,specimenVoucherNumbers,firstFlashTime,lastFlashTime,firstFlashTempF,lastFlashTempF,flashesInPattern,flashColor,flashPatternPeriod,flashDuration,flashInterval,maleHeightZones,flashLocation,maleFlashBehavior,femaleFlashBehavior,observationStatus
,,,,36812,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/22/2023,2023,6,22,"Fireflies first noted here 11 July 2020 20-30 estimated
                                           13 July 2020 &lt; 15 at site,  two other small groups of &lt; 10 each flashing down drainage near water on road

14 June 2021 2 flashing, 25 June 15-20, 20 July 5-10 flashes, Water event occurred between 25 June and 20 July dates
13 June 2022 - &lt; 10, Bull Noted in Wetland with extensive use in June.  
29 June 2022 &lt; 10
2023 13 June - Candace Fallon and Anna Walker noted a couple of flashes while returning from the Big Marsh
           14 June - Firefly workshop participants visited - &lt;10 flashing
            ",Tony Palmer,,riparian,1390,Candace Fallon,7/30/2024,"Verified based on flash pattern description, time of night, time of year, location, and habitat. This is a known site for Bicellonycha wickershamorum.",,,,Arizona,,,Las Cienegas NCA Empire Gulch,,,31.787637,-110.633852,,0-25,,,,,First flash at 6:45 PM. Low flashes in duff and vegetation streamside. Flashing males got higher as night got darker. ,50+,,36811,1,survey,3,"Jenny Palmer, Brian Grosart, Lily Staler

Note - Survey data entered by Cheryl Mollohan",18:30,20:45,NA,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Riparian area with large amount of emergent vegetation including sedge, spearmint, cattails, under partial cottonwood canopy",a:0:{},18:45,20:45,90,79,1,,6 seconds,1,2-7 (6 most common),"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","6:45 - 7:23 Flashes from duff and streamside
7:23 - 8:45 Flashes from emergent vegetation and 7-8 feet in air above stream
","6:45-7:23 Single flash of 1 second repeated every 5-7 seconds
7:23 - 8:15 Single flash 1.5-2 seconds repeated every 6 seconds with various loops and squiggles","Steady flash 1-2 seconds long in duff and vegetation, 2-7 seconds apart

",verified
,,,,36814,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/9/2023,2023,7,9,,Hans Huth,,riparian,1262,,,,,,,Arizona,,,,,,31.787637,-110.633852,,0-25,,,,,,11_50,,36813,1,survey,1,Survey conducted by Hans Huth - entered by Cheryl Mollohan,19:30,20:46,NA,Bicellonycha,wickershamorum wickershamorum,yes,19:29,,a:0:{},19:45,21:45,80.9,78.6,1,,8,0.5,8,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",Along the left bank of an extended channel that's overgrown with lots of cover but clear within the channel,Non-synchronous - slow traveling a length of about 6 feet during course of single pattern ,No females identified,unreviewed
,,,,36817,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/4/2022,2022,7,4,,Cheryl Mollohan,,open_freshwater_wetland,1313,,,,,,,Arizona,,,Las Cienegas Natural Conservation Area Large Marsh,,,31.824733,-110.58566,,0-25,,,,,,50+,,35753,0,survey,5,"Candace Fallon, Saff Killingsworth, Sarina Jepsen, Al LeCount",19:46,20:46,2.34,Bicellonycha,wickershamorum wickershamorum,yes,19:34,"Cattails, some open water, surrounding mature cottonwood and riparian community near Cienega Creek",a:0:{},19:46,20:46,75,67.5,1,,8-Jun,&lt;1,One flash every 6-8 seconds,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",In and above emergent vegetation.  Above open water in wetland. Along riparian corridor of Cienega Creek.,Slow flying.,,unreviewed
,,,,36820,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/23/2022,2022,7,23,"This site was first located in 2021.
Filming using GoPro cameras per R. Sarfati protocol for this site 15 June - 28 June, and 15-23 July intermittently.  Typical slow flashers and Bw pattern through 6/28.  Fast flashing and fast flying fireflies noted upon our return in mid-July.  This was our final survey and filming.  It appears primarily slow flashing Bw's again but with a few fast flyers. 

Fireflies MS #1-3 collected here and sent to  Laura Hughes who verified them as Bw and then on to Luiz Silviera for further analysis.",Cheryl Mollohan,,open_freshwater_wetland,1262,,,,,,,Arizona,,,,,,32.348713,-110.2396,,0-25,,,,,,50+,,36818,1,survey,2,Ron Day,19:39,20:19,0.29,Bicellonycha,wickershamorum wickershamorum,yes,19:36,"Improved spring with open pool.  Primarily sedge/grass community surrounded by ash, mesquite, cottonwood trees. Pool is approximately 2 meters X 4 meters. ","a:1:{i:0;s:20:""MSMN - 022 - #1-3 CM"";}",19:38,20:18,86.5,82.1,1,,Fast flashers flash 1 every 1.1 - 2.05 seconds. Slow flasher 1 every 4.88 seconds,&lt;1,2-5 seconds,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",Flashing just above sedge/grass community,,,verified
,,,,36828,,,,,,Bicellonycha,wickershamorum piceum,,6/15/2023,2023,6,15,Started the evening survey at the reservoir are up stream. Did not find fireflies there. GGD for Morenci (higher elevation) 1241.5. ,Anna Walker,,riparian,1104,,,,,,,Arizona,,,Lower Eagle Creek Pumphouse,,,33.060534,-109.439256,,0-25,,,,,"Very few fireflies present. Found beaver carcass. Put camera traps upstream, but did not see any flashes. ",2_10,,36824,0,survey,3,"Cheryl Mollohan, Raphael Sarfati",20:41,21:04,2.88,Bicellonycha,wickershamorum piceum,yes,19:27,Fireflies are in marshy areas adjacent to the stream. ,a:0:{},20:41,21:04,83,79,1,,2,0.5-1,0.5,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","First flash was likely missed, as this was the second site we visited for the night. Flashes are in the riparian vegetation adjacent to the floodplain. They seem to like wet areas outside of main waterway. ",Most males flying along slowly while flashing. One male in a hurry shot across the landscape very quickly. ,"There was flashing from the bushes, though never found one to confirm they were females. ",verified
,,,,36833,,,,,,Bicellonycha,wickershamorum piceum,,8/3/2023,2023,8,3,"We were just finishing out our field form and starting to walk back to the vehicles when we saw 2 males flashing.  We can't quite remember color - yellow or green, but it was a single flash.  Kayla was able to capture one of the males.  I will be depositing that specimen with Dr. Joe Cicero August 12, 2023.  I photographed it (dorsal and ventral) the next day.   ",Kayla Long,,riparian,1005,Joe Cicero,8/16/2023,Checks out to be within describable parameters… the aedeagus and the other somatic characters are good for Bwp.,,,,Arizona,,,Oak Creek @ Windmill Park Riverfront,,,34.718421,-111.916216,,25-50,,,,,2 males were seen at end of survey flying above grasses and lower branches of willow.  ,2_10,,36830,0,survey,2,Janie Agyagos,19:30,20:40,"Oak Creek upstream of the Cornville Road bridge, both sides of hte creek approximately 0.1 mile.",Bicellonycha,wickershamorum piceum,yes,19:26,Mixed deciduous riparian with adjacent uplands of mesquite bosque and semi-desert grassland.  ,"a:1:{i:0;s:6:""JBA001"";}",20:15,20:20,79,79,1,,unknown,unknown,unknown,"a:2:{i:0;s:0:"""";i:1;s:4:""high"";}","Over streamside vegetation, right at the edge of the water.   ","We were so excited we finally saw fireflies, that we weren't certain of the color.  Green or yellow, not orange.   ",,verified
,,,,36895,,,,,,Photinus,knulli,,8/18/2023,2023,8,18,,Joe Cicero,,riparian,5700',,,,,,,Arizona,,,"Tumacacori National Historical Park (TNHP) and adjacent sites associated with the SantaCruzRiver (SCR), AZ",,,31.56825,-111.05099,,500-1000,,,,,,50+,,36894,1,survey,"dozens of personally hosted patrons, post-public viewings","Joe and guests
Julius Schlosburg and guests",21:00,23:00,"fallow field (31.567664, -111.048382); Orchard (31.569058, -111.049243); 'cul-de-sac'= oblong area just before reaching SCR (31.569506, -111.046005); SCR just east of latter (31.569489, -111.045400); deAnzaTrail 10min S of Santa Gertrudis (31.561629, -111.046816)",Photinus,knulli,yes,20:00,cottonwood/willow bi-lane and associated mesquite bosque paralleling it.,a:0:{},21:00,23:00,n/a,n/a,3,,n/a,n/a,n/a,"a:2:{i:0;s:0:"""";i:1;s:8:""moderate"";}",see below,"In 1983, Cicero identified three periods in the waxing and waning of the species, Maturation, Climax, and Decline. These notes document the most important observations, i.e., those that summarize Climax activity, which were taken on 18-20 August '23, on the four sites known to have held the highest density in the TNHP area since initiation of observations by T.  Palmer in 1921. 

The orchard and fallow field showed relatively negligible numbers during all three periods, but significantly, at the onset of Maturation, the orchard presented the first emergers of the year indicating that eggs were laid there last year. Emergences must have also occurred elsewhere certainly, but these localities weren't given daily observation as was the orchard during public viewings held by the TNHC staff (17-24 July). 

The cul-de-sac, SCR, and the deAnza trail S of Santa Gertrudis, presented the best behavioral observations of all during the August 18-21 dates and, since the season is nearing its end, are therefore considered Climactic. Each location showed ground-to-ground synchrony, ground-t-o-air synchrony and short-lived, mid (1-2 yards)- to long ( 3-5 yards) distance entrainment. These male-male communications did not consummate in a lek- they did not contract into a well defined arena with coherent flash exchanges as described in Cicero (1983), but they did indicate the potential to do so if only the ff were to settle into optimum surface structure to facilitate such interactions. Tall grass and weeds, rough ground with rocks and fallen branches, moon, Nogales lights, and many other itemizable impediments and suppressing factors were present. There were areas with what is estimated to have optimum structure based on the 1983 arena, such as the northwest corner of the orchard, and the S.Gertrudis site, but for reasons unknown, congregations did not ensue. Next year, 2024, we must marshall our efforts into running experiments designed to foment lek formation so that we can document by video the escapades within.",,unreviewed
,,,,37569,,,,,,Photinus,knulli,,8/1/2022,2022,8,1,,Candace Fallon,,shrub_scrub,1171,,,,,,,Arizona,,,Pena Blanca Canyon,,,31.39458,-111.09057,,0-25,,,,,"P. knulli is widespread throughout the area surveyed, and is present beyond the main survey area. We likely saw 100-200 individuals throughout the greater area. Joe Cicero notes that the population size on this evening appears much lower than what he's observed in previous years.",50+,,37568,0,survey,8,"Saff Killingsworth, Joe Cicero, Cheryl Mollohan, Larry Buschman, Anna Walker, Tony Palmer, Jenny Palmer",20:06,23:06,3,Photinus,knulli,yes,19:19,"Dry wash in a desert canyon. Dominant plants include desert willow, soapberry, and mesquite. Several small grassy glades can be found throughout the wash, which is where the fireflies were displaying.",a:0:{},20:06,23:06,73,68.3,3,,4-Mar,&lt;1,3,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",Some stationary flashes from ground (females?) while males typically flew approximately 6-7 feet along vegetation and roadsides. Some were seen flashing from vegetation.,"Typically a yellow-white triplet flash with a 3-second interval, although single and double flashes were also observed. Some males appeared to hover in place for a moment after flashing. No synchrony or lekking observed, although flashes later in the evening appeared to be approaching synchrony.",,unreviewed
,,,,37577,,,,,,Photinus,knulli,,8/2/2022,2022,8,2,,Candace Fallon,,riparian,1245,,,,,,,Arizona,,,Sycamore Canyon,,,31.42705,-111.194,,0-25,,,,,A single Photinus knulli adult female was observed perched on vegetation in the canyon.,1,,37576,0,survey,5,"Saff Killingsworth, Anna Walker, Joe Cicero, Larry Buschman",10:36,12:48,1,Ellychnia,bivulnerus,yes,,,a:0:{},,,,,,,,,,"a:4:{i:0;s:0:"""";i:1;s:0:"""";i:2;s:0:"""";i:3;s:0:"""";}",,,,unreviewed
,,,,37635,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/13/2023,2023,6,13,,Candace Fallon,,riparian,1384,,,,,,,Arizona,,,Las Cienegas NCA - Empire Gulch,,,31.78785149,-110.6363086,,0-25,,,,,"Saw approximately 10 fireflies flashing, both male and female (individuals were briefly captured and examined to confirm sex). ",2_10,,37632,0,survey,12+,"Cheryl Mollohan, Anna Walker, and participants of the Firefly Atlas workshop",18:54,21:15,0.5,Bicellonycha,wickershamorum wickershamorum,yes,19:29,"Cienega with cottonwood overstory within desert mesquite grassland. Wetland plants include willow, cattails, and yerba mansa.",a:0:{},19:50,21:15,65.8,62,1,,NA,NA,NA,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",All flashing was observed from the ground level (no individuals flying).,Difficult to discern flash pattern since all flashes were from the ground. It's possible it was too cold for males to take flight.,,unreviewed
,,,,37640,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/14/2023,2023,6,14,"Observed 3 fireflies: two on the ground and one flying that went high up into the tree canopy and appeared to perch in the vegetation. No individuals were captured or photographed, but the flash pattern and color indicated B. wickershamorum, and this site is very close to the known type locality for the species. We visited this site earlier in the evening (approx 5:15pm) to scout it out and then returned after dark, after another survey (Green Kingfisher Pond), to see if fireflies were present.",Candace Fallon,,riparian,1228,,,,,,,Arizona,,,Babocomari River at Bowers Rd.,,,31.691858,-110.247458,,0-25,,,,,"Observed 3 fireflies: two on the ground and one flying that went high up into the tree canopy and appeared to perch in the vegetation. No individuals were captured or photographed, but the flash pattern and color indicated B. wickershamorum, and this site is very close to the known type locality for the species. We visited this site earlier in the evening (approx 5:15pm) to scout it out and then returned after dark, after another survey (Green Kingfisher Pond), to see if fireflies were present.",2_10,,37638,0,incidental,2,Anna Walker,21:06,21:16,,Bicellonycha,wickershamorum wickershamorum,yes,19:29,Lush riparian area with cottonwood canopy.,a:0:{},21:06,21:16,70,70,1,,4,&lt;1,3,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:4:""high"";}","Two flashes were from the ground near the creek, and the third was flying above the creek, slowly moving higher into the tree canopy.",,,unreviewed
