Drainage,Site,Surveyor,Date,Results,Coordinates,Coordinates,Beg Temp,End temp,RH,Notes,
Verde River,Clear Creek Day Use,Rachael Warburton,7/2/24,None,34.507157,-111.8377,84,83.3,60,Ended survey at 8:20pm.,
West Clear Creek,Bullpen,"Janie Agyagos, Frank Agaygos",7/2/24,11-50 flashing fireflies observed (~40),34.538428,-111.68899,79.1,76,63,"Wilderness + canyon- no visible Phoenix sky glow. Cobble/boulder/bedrock dominated, not much herbeceous veg. Humid, recent rain, mud on trails even in exposed uplands. ",
Red Tank Draw,Red Tank Draw,Peter Malmgren,7/3/24,None,34.6781,-111.72506,83.3,80.5,32,,
Dry Beaver Creek,Stagestop,Peter Malmgren,7/10/24,None,34.71363,-111.78495,87.5,77.3,32,,
Oak Creek,Windmill Park Creekfront,Margie and David Terrell,7/10/24,2-10 flashing fireflies observed,34.7195,-111.91672,94,83,15,"1st observed at 8:16pm - flew from bush, across creek to opposite grasses. 2nd observed at 8:20pm - seen over creek and then flying low to grasses on opposite side. Single flash interval. Too far away to photograph.",
Walker Creek,Walker Creek,Peter Malmgren,7/11/24,None,34.64801,-111.72057,88.2,80.5,25,Livestock grazing,
Oak Creek,End of Deer Pass Rd / 89B,"Eve Berlinsky, Nathan Levin, Vivian Ferguson",7/13/24,None,34.798803,-111.883778,96,,,"Carex grasses, willow, cottonwood, sycamore, ash trees present. Sandy bank with wet soil. High rec use.",
Verde River,White Bridge,"Rachael Warburton, Steven Warburton",7/16/24,None,34.550163,-111.850197,87.9,87.8,34.4,Storm front moving in during survey. Breezy but no precip. Ended ~8:20pm.,
Verde River,Tissaw Enclosure,Dale Evans,7/22/24,None,34.683411,-111.95938,85,80,30,Riparian area,
Walker Creek,Walker Creek,Peter Malmgren,7/24/24,None,34.64801,-111.72057,85.2,82.1,45,Area had not yet received any rain,
West Clear Creek,Bullpen,"Eve Berlinsky, Adam Browne, Rachel Dellinger, Carmine Agrifoglio, Vivian Ferguson, Nathan Levin",7/27/24,2-10 flashing fireflies observed,34.53501,-111.635871,87.2,82.9,47,"High rec area. Sycamore trees and grasses, not a lot of understory. Sandy/pebbly bank. First one started flying at 8:05pm, began up high and then seemed to drop up and down along bank until 9:06pm. ",
West Clear Creek,Bullpen,"Eve Berlinsky, Adam Browne, Rachel Dellinger, Carmine Agrifoglio, Vivian Ferguson, Nathan Levin",7/28/24,2-10 flashing fireflies observed,34.535101,-111.63573,83.3,78.3,40.6,"High rec area, boulder/cobble substrate. Frequently used wilderness campsite, some grasses on bank but mostly rocky. First flashing firefly at 8:05pm again, moved low and high throughout trees along bank. Seemed to make a big circle from one side of the creek, downstream, crossed the creek, and then back upstream where it was first seen. Last flash was 8:47pm. ",
Sycamore Creek,Nelson Place Spring,Rachael Warburton,7/29/24,None,34.319851,-111.829695,75.4,72.4,39.6,"Not much herbaceous vegetation in the creek or at the spring. Rocky. Cattle currently grazing in the area. Most of survey conducted at the spring site, but also continued downstream along Sycamore Creek, plus ""unofficially"" observing along the trail on the hike out.",
Verde River,Tissaw Enclosure,Dale Evans,7/30/24,None,34.683411,-111.95938,85,80,35,Riparian area,
Spring Creek,Low Water Crossing,Peter Malmgren,8/2/24,None,34.76411,-111.91651,81.7,76.6,58.7,Riparian grasses/sedge. Livestock grazing presence.,
West Clear Creek,Bullpen,"Janie Agyagos, Peter Malmgren, Linda Weaver, Rick Paul",8/5/24,None,34.58844,-111.68903,88.7,82.4,36,"Mixed deciduous broadleaf cottonwood, willow, ash, sycamore. Bedrock and boulder dominated. Not so much herbaceous riparian veg. Some rec use. Same site as FF observed one month ago- too late? Too dry (no recent rain)?",
Fossil Creek,Tonto Bench,"Mike Vitek, Frank Wirkus",8/6/24,None,34.41055,-111.62861,85,85,41,,
Fossil Creek,Sally May,"Eve Berlinsky, Peter Malmgren",8/6/24,None,34.38796,-111.65491,89,82.7,35.1,"Cattails, willow, grass sp. Managed rec site. Thunder and lightning in distance, but no rain.",
Fossil Creek,Irving,"Kayla Long, Susan Myers",8/6/24,None,34.403539,-111.617277,82.1,80.7,54.6,High rec use,
Fossil Creek,Purple Mountain,"Janie Agyagos, Michelle Swahla",8/6/24,None,34.385082,-111.658666,89,82.7,35.1,"Mixed deciduous broadleaf riparian- Alder, cottonwood, sycamore, ash, willow. Streamside herbaceous vegetation.",
Fossil Creek,Homestead,Margie and David Terrell,8/6/24,None,34.39217,-111.64306,90,88,35.1,"Sitting next to creek with cattail, grasses, cottonwoods, sycamores, ash. Flock of vultures roosting, lizards scurrying around, bats flying, locusts making noise, waterfall created background noise but some birds could be heard every now and then.",
Walker Creek,Walker Creek,Peter Malmgren,8/9/24,None,34.64801,-111.72057,80.3,77,53.6,Livestock grazing,
Walker Creek,Walker Creek,Peter Malmgren,8/15/24,None,34.64801,-111.72057,90.4,82,34,Livestock grazing,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
